,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,pH,sulphates,alcohol,quality
245,7.2,0.2,0.25,4.5,0.044000000000000004,31.0,109.0,3.23,0.36,9.4,6
246,6.4,0.26,0.3,2.2,0.025,33.0,134.0,3.21,0.47,10.6,6
247,6.6,0.21,0.38,2.2,0.026000000000000002,40.0,104.0,3.25,0.4,11.1,7
248,7.1,0.21,0.3,1.4,0.037000000000000005,45.0,143.0,3.13,0.33,9.9,6
249,7.3,0.22,0.4,14.75,0.042,44.5,129.5,3.36,0.41,9.1,7
250,7.4,0.25,0.37,6.9,0.02,14.0,93.0,3.0,0.48,10.7,5
251,7.0,0.26,0.46,15.55,0.037000000000000005,61.0,171.0,2.94,0.35,8.8,6
252,9.7,0.24,0.45,1.2,0.033,11.0,59.0,2.74,0.47,10.8,5
253,8.0,0.61,0.38,12.1,0.301,24.0,220.0,2.94,0.48,9.2,5
254,7.2,0.26,0.44,7.1,0.027000000000000003,25.0,126.0,3.02,0.34,11.1,7
255,6.4,0.23,0.33,1.15,0.044000000000000004,15.5,217.5,3.33,0.44,11.0,6
256,6.8,0.32,0.37,3.4,0.023,19.0,87.0,3.14,0.53,12.7,6
257,7.8,0.32,0.31,1.7,0.036000000000000004,46.0,195.0,3.03,0.48,10.5,6
258,7.4,0.18,0.42,2.1,0.036000000000000004,33.0,187.0,3.4,0.41,10.6,6
259,8.0,0.2,0.4,5.2,0.055,41.0,167.0,3.18,0.4,10.6,6
260,7.3,0.18,0.65,1.4,0.046,28.0,157.0,3.33,0.62,9.4,6
261,9.6,0.29,0.46,1.45,0.039,77.5,223.0,2.92,0.46,9.5,5
262,7.0,0.39,0.31,5.3,0.16899999999999998,32.0,162.0,3.2,0.48,9.4,5
263,8.4,0.35,0.56,13.8,0.048,55.0,190.0,3.07,0.58,9.4,6
264,7.6,0.31,0.29,10.5,0.04,21.0,145.0,3.04,0.35,9.4,5
265,7.0,0.24,0.36,4.9,0.083,10.0,133.0,3.33,0.37,10.8,6
266,8.4,0.16,0.33,1.5,0.033,16.0,98.0,3.14,0.42,9.7,6
267,6.2,0.17,0.3,1.1,0.037000000000000005,14.0,79.0,3.5,0.54,10.3,6
268,7.8,0.23,0.28,4.75,0.042,45.0,166.0,2.96,0.4,11.5,6
269,7.4,0.19,0.42,6.4,0.067,39.0,212.0,3.3,0.33,9.6,6
270,6.4,0.31,0.4,6.2,0.04,46.0,169.0,3.15,0.46,9.3,5
271,9.0,0.24,0.5,1.2,0.048,26.0,107.0,3.21,0.34,12.4,6
272,8.4,0.58,0.27,12.15,0.033,37.0,116.0,2.99,0.39,10.8,5
273,7.2,0.16,0.32,0.8,0.04,50.0,121.0,3.27,0.33,10.0,6
274,7.6,0.54,0.23,2.0,0.028999999999999998,13.0,151.0,3.04,0.33,10.4,5
275,8.4,0.58,0.27,12.15,0.033,37.0,116.0,2.99,0.39,10.8,5
276,7.3,0.23,0.37,1.9,0.040999999999999995,51.0,165.0,3.26,0.4,12.2,7
277,7.3,0.39,0.37,1.1,0.043,36.0,113.0,3.39,0.48,12.7,6
278,8.0,0.57,0.39,3.9,0.034,22.0,122.0,3.29,0.67,12.8,6
279,7.6,0.19,0.41,1.1,0.04,38.0,143.0,2.92,0.42,11.4,5
280,7.3,0.22,0.41,15.4,0.05,55.0,191.0,3.32,0.59,8.9,6
281,6.4,0.25,0.33,1.4,0.04,42.0,115.0,3.19,0.48,11.3,6
282,6.9,0.32,0.16,1.4,0.051,15.0,96.0,3.22,0.38,9.5,5
283,7.3,0.22,0.41,15.4,0.05,55.0,191.0,3.32,0.59,8.9,6
284,7.6,0.28,0.39,1.9,0.052000000000000005,23.0,116.0,3.25,0.4,10.4,5
285,10.7,0.22,0.56,8.2,0.044000000000000004,37.0,181.0,2.87,0.68,9.5,6
286,6.9,0.28,0.3,1.6,0.047,46.0,132.0,3.35,0.38,11.1,6
287,6.9,0.46,0.2,0.9,0.054000000000000006,5.0,126.0,3.1,0.42,10.4,4
288,6.8,0.23,0.4,1.6,0.047,5.0,133.0,3.23,0.7,11.4,6
289,6.2,0.33,0.29,1.3,0.042,26.0,138.0,3.77,0.64,9.5,6
290,5.6,0.49,0.13,4.5,0.039,17.0,116.0,3.42,0.9,13.7,7
291,6.2,0.16,0.47,1.4,0.028999999999999998,23.0,81.0,3.26,0.42,12.2,6
292,7.3,0.25,0.36,13.1,0.05,35.0,200.0,3.04,0.46,8.9,7
293,7.3,0.25,0.36,13.1,0.05,35.0,200.0,3.04,0.46,8.9,7
294,6.3,0.67,0.48,12.6,0.052000000000000005,57.0,222.0,3.17,0.52,9.3,5
295,8.2,0.22,0.36,6.8,0.034,12.0,90.0,3.01,0.38,10.5,5
296,7.1,0.19,0.28,3.6,0.033,16.0,78.0,2.91,0.78,11.4,7
297,7.3,0.25,0.36,13.1,0.05,35.0,200.0,3.04,0.46,8.9,7
298,7.1,0.26,0.32,5.9,0.037000000000000005,39.0,97.0,3.31,0.4,11.6,6
299,6.9,0.3,0.33,4.1,0.035,26.0,155.0,3.25,0.79,12.3,7
300,6.2,0.18,0.49,4.5,0.047,17.0,90.0,3.27,0.37,11.6,6
301,8.2,0.18,0.49,1.1,0.033,28.0,81.0,3.0,0.68,10.4,6
302,7.0,0.39,0.24,1.0,0.048,8.0,119.0,3.0,0.31,10.1,4
303,7.4,0.25,0.49,1.1,0.042,35.0,156.0,3.13,0.55,11.3,5
304,8.2,0.18,0.49,1.1,0.033,28.0,81.0,3.0,0.68,10.4,6
305,6.1,0.25,0.49,7.6,0.052000000000000005,67.0,226.0,3.16,0.47,8.9,5
306,8.3,0.2,0.74,4.45,0.044000000000000004,33.0,130.0,3.25,0.42,12.2,6
307,7.8,0.43,0.49,13.0,0.033,37.0,158.0,3.14,0.35,11.3,6
308,8.3,0.2,0.74,4.45,0.044000000000000004,33.0,130.0,3.25,0.42,12.2,6
309,8.0,0.44,0.49,9.1,0.031,46.0,151.0,3.16,0.27,12.7,8
310,7.0,0.2,0.74,0.8,0.044000000000000004,19.0,163.0,3.46,0.53,10.2,6
311,7.2,0.4,0.49,1.1,0.048,11.0,138.0,3.01,0.42,9.3,5
312,7.2,0.08,0.49,1.3,0.05,18.0,148.0,3.46,0.44,10.2,5
313,7.2,0.08,0.49,1.3,0.05,18.0,148.0,3.46,0.44,10.2,5
314,6.6,0.25,0.24,1.7,0.048,26.0,124.0,3.37,0.6,10.1,6
315,6.9,0.25,0.24,3.6,0.057,13.0,85.0,2.99,0.48,9.5,4
316,7.5,0.32,0.24,4.6,0.053,8.0,134.0,3.14,0.5,9.1,5
317,7.9,0.16,0.74,17.85,0.037000000000000005,52.0,187.0,2.99,0.41,9.3,6
318,8.0,0.3,0.49,9.4,0.046,47.0,188.0,3.14,0.48,10.0,5
319,8.3,0.2,0.49,1.7,0.04,34.0,169.0,3.05,0.37,10.1,5
320,7.0,0.17,0.74,12.8,0.045,24.0,126.0,3.26,0.38,12.2,6
321,8.1,0.2,0.49,8.1,0.051,51.0,205.0,3.1,0.52,11.0,6
322,6.8,0.21,0.49,14.5,0.06,50.0,170.0,3.55,0.44,9.8,6
323,8.0,0.18,0.49,1.8,0.061,10.0,145.0,3.23,0.48,10.0,5
324,14.2,0.27,0.49,1.1,0.037000000000000005,33.0,156.0,3.15,0.54,11.1,5
325,8.1,0.3,0.49,8.1,0.037000000000000005,26.0,174.0,3.1,0.3,11.2,6
326,7.3,0.26,0.49,5.0,0.027999999999999997,32.0,107.0,3.24,0.54,10.8,6
327,7.1,0.18,0.74,15.6,0.044000000000000004,44.0,176.0,3.38,0.67,9.0,6
328,7.2,0.16,0.49,1.3,0.037000000000000005,27.0,104.0,3.23,0.57,10.6,6
329,7.3,0.14,0.49,1.1,0.038,28.0,99.0,3.2,0.72,10.6,6
330,6.7,0.29,0.49,4.7,0.034,35.0,156.0,3.13,0.45,9.9,6
331,7.1,0.36,0.24,1.8,0.025,32.0,102.0,3.34,0.59,12.8,7
332,7.9,0.42,0.49,8.2,0.055999999999999994,32.0,164.0,3.29,0.6,11.2,6
333,6.9,0.24,0.49,1.3,0.032,35.0,148.0,3.45,0.57,10.7,6
334,8.8,0.35,0.49,1.0,0.036000000000000004,14.0,56.0,2.96,0.33,10.5,5
335,6.7,0.3,0.74,5.0,0.038,35.0,157.0,3.21,0.46,9.9,5
336,6.8,0.17,0.74,2.4,0.053,61.0,182.0,3.63,0.76,10.5,6
337,7.1,0.64,0.49,1.8,0.05,17.0,128.0,3.31,0.58,10.6,5
338,9.3,0.31,0.49,1.3,0.042,34.0,147.0,3.11,0.46,9.8,5
339,6.4,0.25,0.74,7.8,0.045,52.0,209.0,3.21,0.42,9.2,6
340,7.3,0.3,0.74,13.5,0.039,46.0,165.0,3.02,0.4,8.7,5
341,7.0,0.27,0.74,1.5,0.036000000000000004,27.0,122.0,3.35,0.48,11.2,7
342,7.9,0.14,0.74,1.2,0.027999999999999997,30.0,165.0,3.08,0.82,12.3,6
343,6.8,0.21,0.74,1.2,0.047,25.0,111.0,3.13,0.41,10.7,6
344,6.6,0.55,0.01,2.7,0.034,56.0,122.0,3.15,0.3,11.9,5
345,5.6,0.41,0.24,1.9,0.034,10.0,53.0,3.32,0.5,13.5,6
346,7.5,0.32,0.49,1.7,0.031,44.0,109.0,3.07,0.46,12.5,6
347,8.2,0.26,0.49,5.2,0.04,19.0,100.0,3.12,0.34,10.1,5
348,6.9,0.34,0.49,7.3,0.045,61.0,206.0,3.09,0.4,9.0,5
349,6.2,0.2,0.49,1.6,0.065,17.0,143.0,3.22,0.52,9.2,6
350,6.5,0.44,0.49,7.7,0.045,16.0,169.0,3.11,0.37,8.7,5
351,9.0,0.17,0.49,1.0,0.039,46.0,131.0,3.09,0.51,10.5,6
352,6.4,0.26,0.49,6.4,0.037000000000000005,37.0,161.0,3.38,0.53,9.7,6
353,7.6,0.47,0.49,13.0,0.239,42.0,220.0,2.96,0.51,9.2,5
354,7.8,0.49,0.49,7.0,0.043,29.0,149.0,3.21,0.33,10.0,5
355,8.1,0.3,0.49,12.3,0.049,50.0,144.0,3.09,0.57,10.2,6
356,6.6,0.325,0.49,7.7,0.049,53.0,217.0,3.16,0.4,9.3,5
357,6.6,0.27,0.49,7.8,0.049,62.0,217.0,3.17,0.45,9.4,5
358,6.7,0.21,0.49,1.4,0.047,30.0,114.0,2.92,0.42,10.8,6
359,7.0,0.35,0.3,6.5,0.027999999999999997,27.0,87.0,3.4,0.42,11.4,7
360,6.2,0.27,0.32,8.8,0.047,65.0,224.0,3.17,0.47,8.9,5
361,7.1,0.16,0.25,1.3,0.034,28.0,123.0,3.27,0.55,11.4,7
362,7.7,0.12,0.32,1.4,0.06,47.0,150.0,3.37,0.42,9.2,6
363,8.5,0.32,0.36,14.9,0.040999999999999995,47.0,190.0,3.08,0.31,10.0,6
364,6.7,0.33,0.42,6.4,0.057999999999999996,27.0,151.0,3.16,0.44,9.6,5
365,6.6,0.25,0.31,1.5,0.035,32.0,127.0,3.41,0.47,11.3,7
366,8.1,0.31,0.24,1.6,0.032,10.0,67.0,3.08,0.47,10.5,5
367,7.5,0.4,1.0,19.5,0.040999999999999995,33.0,148.0,3.24,0.38,12.0,6
368,8.0,0.32,0.36,4.6,0.042,56.0,178.0,3.29,0.47,12.0,6
369,7.5,0.22,0.29,4.8,0.05,33.0,87.0,3.14,0.42,9.9,6
370,6.4,0.16,0.28,2.2,0.042,33.0,93.0,3.31,0.43,11.1,6
371,6.7,0.27,0.25,8.0,0.053,54.0,202.0,3.22,0.43,9.3,5
372,8.0,0.3,0.28,5.7,0.044000000000000004,31.0,124.0,3.16,0.51,10.2,5
373,7.8,0.39,0.26,9.9,0.059000000000000004,33.0,181.0,3.04,0.42,10.9,6
374,6.6,0.25,0.35,14.0,0.069,42.0,163.0,3.56,0.47,9.8,5
375,6.5,0.18,0.26,1.4,0.040999999999999995,40.0,141.0,3.34,0.72,9.5,6
376,6.1,0.32,0.37,1.8,0.051,13.0,200.0,3.49,0.44,10.5,5
377,8.7,0.45,0.4,1.5,0.067,17.0,100.0,3.27,0.57,10.1,5
378,6.7,0.24,0.29,6.8,0.038,54.0,127.0,3.33,0.46,11.6,7
379,8.5,0.21,0.26,9.25,0.034,73.0,142.0,3.05,0.37,11.4,6
380,9.4,0.16,0.23,1.6,0.042,14.0,67.0,3.07,0.32,9.5,5
381,7.5,0.33,0.39,12.4,0.065,29.0,119.0,3.16,0.39,9.4,5
382,7.5,0.33,0.39,12.4,0.065,29.0,119.0,3.16,0.39,9.4,5
383,5.6,0.46,0.24,4.8,0.042,24.0,72.0,3.29,0.37,12.6,7
384,6.7,0.27,0.3,13.9,0.028999999999999998,34.0,131.0,3.36,0.5,12.0,7
385,6.0,0.26,0.29,1.0,0.032,27.0,96.0,3.38,0.44,12.3,7
386,6.5,0.32,0.12,11.5,0.033,35.0,165.0,3.22,0.32,9.0,5
387,7.4,0.49,0.24,15.1,0.03,34.0,153.0,3.13,0.51,12.0,7
388,7.7,0.44,0.24,11.2,0.031,41.0,167.0,3.12,0.43,11.3,7
389,7.2,0.24,0.29,2.2,0.037000000000000005,37.0,102.0,3.27,0.64,11.0,7
390,8.2,0.18,0.31,11.8,0.039,96.0,249.0,3.07,0.52,9.5,6
391,7.4,0.44,0.2,11.5,0.049,44.0,157.0,3.27,0.44,9.0,5
392,7.6,0.26,0.58,7.9,0.040999999999999995,62.0,180.0,3.07,0.38,9.0,5
393,7.4,0.44,0.2,11.5,0.049,44.0,157.0,3.27,0.44,9.0,5
394,8.9,0.34,0.34,1.6,0.055999999999999994,13.0,176.0,3.14,0.47,9.7,5
395,6.7,0.18,0.19,4.7,0.046,57.0,161.0,3.32,0.66,10.5,5
396,6.6,0.28,0.3,7.8,0.049,57.0,202.0,3.24,0.39,9.5,5
397,8.2,0.18,0.28,8.5,0.035,41.0,140.0,3.04,0.37,10.1,6
398,7.0,0.21,0.22,5.1,0.048,38.0,168.0,3.34,0.49,10.4,6
399,7.2,0.2,0.61,16.2,0.043,14.0,103.0,3.06,0.36,9.2,6
400,7.2,0.24,0.4,17.85,0.049,50.0,185.0,3.34,0.42,9.6,5
401,7.7,0.3,0.42,14.3,0.045,45.0,213.0,3.18,0.63,9.2,5
402,7.4,0.21,0.3,7.9,0.039,14.0,118.0,2.96,0.34,10.4,6
403,7.8,0.34,0.27,1.2,0.04,25.0,106.0,3.01,0.55,10.4,6
404,7.9,0.26,0.33,10.3,0.039,73.0,212.0,2.93,0.49,9.5,5
405,7.3,0.22,0.5,13.7,0.049,56.0,189.0,3.24,0.66,9.0,5
406,7.6,0.26,0.36,1.6,0.032,6.0,106.0,3.15,0.4,10.4,5
407,7.1,0.25,0.28,1.6,0.052000000000000005,46.0,169.0,3.05,0.41,10.5,6
408,9.2,0.71,0.23,6.2,0.042,15.0,93.0,2.89,0.34,10.1,4
409,8.3,0.36,0.57,15.0,0.052000000000000005,35.0,256.0,2.93,0.64,8.6,5
410,6.8,0.31,0.32,7.6,0.052000000000000005,35.0,143.0,3.14,0.38,9.0,5
411,8.3,0.36,0.57,15.0,0.052000000000000005,35.0,256.0,2.93,0.64,8.6,5
412,6.4,0.22,0.32,12.0,0.066,57.0,158.0,3.6,0.43,9.0,6
413,8.0,0.25,0.13,17.2,0.036000000000000004,49.0,219.0,2.96,0.46,9.7,5
414,9.9,1.005,0.46,1.4,0.046,34.0,185.0,3.02,0.49,10.2,5
415,8.1,0.31,0.36,8.2,0.027999999999999997,29.0,142.0,3.01,0.34,13.0,7
416,6.4,0.29,0.28,11.1,0.063,66.0,169.0,2.89,0.57,9.0,5
417,7.2,0.15,0.33,1.1,0.027000000000000003,16.0,63.0,3.37,0.4,9.9,5
418,7.4,0.32,0.55,16.6,0.055999999999999994,53.0,238.0,2.96,0.58,8.7,6
419,7.6,0.2,0.26,4.5,0.086,37.0,133.0,3.15,0.42,9.2,6
420,7.5,0.26,0.26,18.35,0.084,33.0,139.0,3.17,0.39,8.8,5
421,7.4,0.3,0.22,5.25,0.053,33.0,180.0,3.13,0.45,11.6,6
422,7.0,0.28,0.33,14.6,0.043,47.0,168.0,3.34,0.67,8.8,5
423,7.0,0.28,0.33,14.6,0.043,47.0,168.0,3.34,0.67,8.8,5
424,8.4,0.2,0.38,11.8,0.055,51.0,170.0,3.34,0.82,8.9,6
425,6.9,0.19,0.39,8.0,0.027999999999999997,22.0,84.0,3.11,0.66,10.8,6
426,6.3,0.21,0.28,1.5,0.051,46.0,142.0,3.23,0.42,10.1,6
427,7.6,0.29,0.26,6.5,0.042,32.0,160.0,3.14,0.47,10.7,5
428,8.8,0.2,0.28,1.1,0.018000000000000002,18.0,72.0,2.97,0.35,10.4,5
429,8.7,0.24,0.35,0.6,0.042,11.0,71.0,3.08,0.38,10.6,5
430,6.8,0.21,0.27,18.15,0.042,41.0,146.0,3.3,0.36,8.7,5
431,6.8,0.21,0.27,18.15,0.042,41.0,146.0,3.3,0.36,8.7,5
432,6.6,0.23,0.27,5.6,0.043,43.0,164.0,3.27,0.76,9.5,6
433,7.6,0.18,0.36,2.4,0.049,38.0,123.0,3.6,0.46,10.3,5
434,5.9,0.17,0.3,1.4,0.042,25.0,119.0,3.68,0.72,10.5,6
435,7.5,0.33,0.32,11.1,0.036000000000000004,25.0,119.0,3.15,0.34,10.5,6
436,8.2,0.17,0.32,1.5,0.05,17.0,101.0,3.14,0.58,9.5,6
437,6.8,0.28,0.35,2.3,0.042,16.0,85.0,3.19,0.56,12.4,6
438,6.0,0.27,0.15,1.5,0.055999999999999994,35.0,128.0,3.12,0.45,8.8,5
439,6.5,0.22,0.25,17.1,0.05,44.0,138.0,3.3,0.37,8.8,5
440,6.5,0.22,0.25,17.1,0.05,44.0,138.0,3.3,0.37,8.8,5
441,7.7,0.26,0.32,1.2,0.04,26.0,117.0,3.21,0.56,10.8,6
442,7.7,0.39,0.28,4.9,0.035,36.0,109.0,3.19,0.58,12.2,7
443,7.1,0.22,0.32,16.9,0.055999999999999994,49.0,158.0,3.37,0.38,9.6,6
444,7.9,0.18,0.36,5.9,0.057999999999999996,31.0,132.0,3.25,0.52,10.9,6
445,7.1,0.33,0.64,13.2,0.055999999999999994,12.0,105.0,3.05,0.39,9.2,5
446,7.9,0.28,0.32,3.6,0.038,9.0,76.0,3.05,0.31,11.7,6
447,6.3,0.24,0.37,1.8,0.031,6.0,61.0,3.3,0.34,12.2,6
448,7.4,0.19,0.3,12.8,0.053,48.5,229.0,3.14,0.49,9.1,7
449,8.0,0.36,0.43,10.1,0.053,29.0,146.0,3.4,0.46,9.5,5
450,6.6,0.32,0.27,10.9,0.040999999999999995,37.0,146.0,3.24,0.47,10.0,6
451,9.2,0.23,0.35,10.7,0.037000000000000005,34.0,145.0,3.09,0.32,9.7,4
452,6.8,0.25,0.18,1.4,0.055999999999999994,13.0,137.0,3.11,0.42,9.5,5
453,7.1,0.26,0.3,2.0,0.031,13.0,128.0,3.19,0.49,11.4,6
454,8.5,0.28,0.34,13.8,0.040999999999999995,32.0,161.0,3.13,0.4,9.9,6
455,8.1,0.25,0.38,3.8,0.051,18.0,129.0,3.21,0.38,11.5,7
456,7.0,0.22,0.32,1.6,0.045,40.0,120.0,2.98,0.44,10.5,6
457,7.6,0.23,0.26,15.3,0.067,32.0,166.0,3.03,0.44,9.2,6
458,6.9,0.25,0.35,9.2,0.034,42.0,150.0,3.21,0.36,11.5,6
459,7.2,0.29,0.18,8.2,0.042,41.0,180.0,3.16,0.49,9.1,5
460,6.4,0.34,0.2,14.9,0.06,37.0,162.0,3.13,0.45,9.0,4
461,6.1,0.15,0.29,6.2,0.046,39.0,151.0,3.6,0.44,10.6,6
462,7.4,0.18,0.29,1.4,0.042,34.0,101.0,3.54,0.6,10.5,6
463,7.2,0.29,0.2,7.7,0.046,51.0,174.0,3.16,0.52,9.5,5
464,6.2,0.26,0.19,3.4,0.049,47.0,172.0,3.14,0.43,10.4,5
465,7.1,0.14,0.35,1.4,0.039,24.0,128.0,2.97,0.68,10.4,6
466,8.5,0.25,0.31,2.8,0.032,11.0,61.0,3.06,0.44,11.5,5
467,6.6,0.19,0.43,10.9,0.045,53.0,154.0,3.52,0.77,10.4,6
468,7.4,0.14,0.3,1.3,0.033,25.0,91.0,3.53,0.39,10.6,6
469,6.4,0.16,0.25,1.3,0.047,20.0,77.0,3.61,0.54,10.2,6
470,7.4,0.33,0.26,15.6,0.049,67.0,210.0,3.06,0.68,9.5,5
471,6.9,0.28,0.31,7.2,0.04,47.0,168.0,3.29,0.57,10.6,6
472,6.6,0.22,0.28,12.05,0.057999999999999996,25.0,125.0,3.45,0.45,9.4,6
473,7.5,0.42,0.2,1.4,0.06,15.0,168.0,3.06,0.4,9.4,5
474,7.0,0.22,0.26,2.8,0.036000000000000004,44.0,132.0,3.34,0.41,12.0,7
475,9.4,0.28,0.3,1.6,0.045,36.0,139.0,3.11,0.49,9.3,5
476,7.0,0.19,0.33,6.3,0.032,42.0,127.0,3.31,0.38,12.2,7
477,7.5,0.26,0.59,11.8,0.046,58.0,164.0,3.17,0.46,8.9,5
478,4.6,0.445,0.0,1.4,0.053,11.0,178.0,3.79,0.55,10.2,5
479,6.9,0.3,0.21,7.2,0.045,54.0,190.0,3.22,0.48,9.4,5
480,7.0,0.35,0.17,1.1,0.049,7.0,119.0,3.13,0.36,9.7,4
481,7.5,0.38,0.29,12.7,0.05,25.0,209.0,3.25,0.59,9.3,5
482,6.3,0.4,0.32,10.6,0.049,38.0,209.0,3.47,0.59,9.3,5
483,8.3,0.27,0.34,10.2,0.048,50.0,118.0,3.18,0.51,10.3,6
484,7.2,0.34,0.3,8.4,0.051,40.0,167.0,3.48,0.62,9.7,5
485,7.0,0.23,0.26,7.2,0.040999999999999995,21.0,90.0,3.22,0.55,9.5,6
486,7.7,0.4,0.27,4.5,0.034,27.0,95.0,3.21,0.59,12.3,7
487,7.0,0.23,0.26,7.2,0.040999999999999995,21.0,90.0,3.22,0.55,9.5,6
488,7.7,0.28,0.63,11.1,0.039,58.0,179.0,3.08,0.44,8.8,5
489,6.1,0.28,0.16,1.3,0.06,36.0,126.0,3.13,0.46,8.7,5
